Algoritmo,Version,n,Resultado,Tiempo_ms
Fibonacci,Iterativo,5,5,0.000510
Fibonacci,Iterativo,10,55,0.000260
Fibonacci,Iterativo,15,610,0.000300
Fibonacci,Iterativo,20,6765,0.000330
Fibonacci,Iterativo,25,75025,0.000390
Fibonacci,Iterativo,30,832040,0.000580
Fibonacci,Recursivo,5,5,0.000810
Fibonacci,Recursivo,10,55,0.006010
Fibonacci,Recursivo,15,610,0.008840
Fibonacci,Recursivo,20,6765,0.055130
Fibonacci,Recursivo,25,75025,0.316470
Fibonacci,Recursivo,30,832040,3.525800
Algoritmo,Version,n,Resultado,Tiempo_ms
Factorial,Iterativo,5,120,0.000350
Factorial,Iterativo,10,3628800,0.000180
Factorial,Iterativo,15,1307674368000,0.000230
Factorial,Iterativo,20,2432902008176640000,0.000250
Factorial,Iterativo,25,7034535277573963776,0.000300
Factorial,Iterativo,30,-8764578968847253504,0.000440
Factorial,Recursivo,5,120,0.000400
Factorial,Recursivo,10,3628800,0.000440
Factorial,Recursivo,15,1307674368000,0.001070
Factorial,Recursivo,20,2432902008176640000,0.000140
Factorial,Recursivo,25,7034535277573963776,0.000160
Factorial,Recursivo,30,-8764578968847253504,0.000120
Algoritmo,Version,n,Resultado,Tiempo_ms
BUSQUEDA LINEAL,Iterativo,100,-1,0.020650
BUSQUEDA LINEAL,Iterativo,500,-1,0.028450
BUSQUEDA LINEAL,Iterativo,1000,-1,0.042930
BUSQUEDA LINEAL,Iterativo,5000,15,0.174930
BUSQUEDA LINEAL,Iterativo,10000,3106,0.145950
BUSQUEDA LINEAL,Recursivo,100,-1,0.006760
BUSQUEDA LINEAL,Recursivo,500,-1,0.013340
BUSQUEDA LINEAL,Recursivo,1000,-1,0.021600
BUSQUEDA LINEAL,Recursivo,5000,-1,0.102730
BUSQUEDA LINEAL,Recursivo,10000,-1,0.178200
Algoritmo,Version,n,Tiempo_ms
ORDENAMIENTO BURBUJA,Iterativo,100,0.182940
ORDENAMIENTO BURBUJA,Iterativo,500,0.794380
ORDENAMIENTO BURBUJA,Iterativo,1000,0.808640
ORDENAMIENTO BURBUJA,Iterativo,5000,19.763070
ORDENAMIENTO BURBUJA,Iterativo,10000,97.617750
ORDENAMIENTO BURBUJA,Recursivo,100,0.036940
ORDENAMIENTO BURBUJA,Recursivo,500,0.384420
ORDENAMIENTO BURBUJA,Recursivo,1000,0.648290
ORDENAMIENTO BURBUJA,Recursivo,5000,15.987130
ORDENAMIENTO BURBUJA,Recursivo,10000,79.336590
